title,make,model,year,condition,transmission,price
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 White,Mercedes-Benz,GLE-Class AMG,2017,,automatic,"₦ 70,000,000"
Toyota Highlander Limited 2010 Silver,Toyota,Highlander Limited,2010,,automatic,"₦ 19,500,000"
Toyota Highlander 3.5L 4WD 2013 Gray,Toyota,Highlander 3,2013,,automatic,"₦ 19,000,000"
Toyota Camry 2014 Gray,Toyota,Camry,2014,,automatic,"₦ 21,000,000"
Lexus RX 350 2008 Gold,Lexus,RX 350,2008,,automatic,"₦ 12,850,000"
Lexus GX 460 Luxury 2014 Gold,Lexus,GX 460,2014,,automatic,"₦ 52,000,000"
Honda Accord 2018 Black,Honda,Accord,2018,,automatic,"₦ 28,000,000"
Lexus ES 350 FWD 2014 Silver,Lexus,ES 350,2014,,automatic,"₦ 22,500,000"
Toyota Highlander 2012 Silver,Toyota,Highlander,2012,,automatic,"₦ 22,500,000"
Honda Accord 2023 Gray,Honda,Accord,2023,,automatic,"₦ 48,000,000"
Lexus ES 350 2010 Gray,Lexus,ES 350,2010,local used,automatic,"₦ 9,200,000"
Lexus GX 460 Luxury 2017 Black,Lexus,GX 460,2017,,automatic,"₦ 55,000,000"
Mercedes-Benz S-Class 2014 White,Mercedes-Benz,S-Class,2014,,automatic,"₦ 62,000,000"
Honda Accord 2024 Black,Honda,Accord,2024,,automatic,"₦ 65,000,000"
Mercedes-Benz GLC-Class 2022 Black,Mercedes-Benz,GLC-Class,2022,,automatic,"₦ 105,000,000"
Toyota Camry LE FWD (2.5L 4cyl 8AM) 2018 Silver,Toyota,Camry LE,2018,,automatic,"₦ 23,000,000"
Toyota Highlander Limited 2008 Black,Toyota,Highlander Limited,2008,local used,automatic,"₦ 9,900,000"
Acura MDX 2007 Silver,Acura,MDX,2007,local used,automatic,"₦ 6,000,000"
Dodge Challenger SXT RWD 2019 Gray,Dodge,Challenger SXT,2019,,automatic,"₦ 35,800,000"
Honda CR-V 2013 White,Honda,CR-V,2013,local used,automatic,"₦ 12,500,000"
Lexus RX 350 2015 White,Lexus,RX 350,2015,,automatic,"₦ 32,000,000"
Lexus RX 350 2009 Black,Lexus,RX 350,2009,,automatic,"₦ 16,800,000"
Toyota Land Cruiser Prado 4.0 Petrol TX-L 2020 White,Toyota,Land Cruiser,2020,,automatic,"₦ 90,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 White,Toyota,Camry SE,2013,,automatic,"₦ 14,650,000"
Mercedes-Benz E350 2020 Black,Mercedes-Benz,E350,2020,,automatic,"₦ 64,500,000"
Toyota Corolla S Premium 4dr Sedan (1.8L 4cyl CVT) 2015 Red,Toyota,Corolla S,2015,,automatic,"₦ 16,999,999"
Mercedes-Benz C450 2018 White,Mercedes-Benz,C450,2018,,automatic,"₦ 50,000,080"
